id,type,domain,surface,env,path,owner,status,last_change,notes
50,code,WEB,WEB-APP,dev,admin/index.html,TBD,ACTIVE,TBD,
51,asset,WEB,WEB-APP,dev,assets/README.md,TBD,ACTIVE,TBD,
52,asset,WEB,WEB-APP,dev,backend/env.example,TBD,ACTIVE,TBD,
53,code,WEB,WEB-APP,dev,backend/package.json,TBD,ACTIVE,TBD,
54,code,WEB,WEB-APP,dev,backend/server.js,TBD,ACTIVE,TBD,
55,code,WEB,WEB-APP,dev,backend/middleware/rbac.js,TBD,ACTIVE,TBD,
56,code,WEB,WEB-APP,dev,backend/models/Category.js,TBD,ACTIVE,TBD,
57,code,WEB,WEB-APP,dev,backend/models/Product.js,TBD,ACTIVE,TBD,
58,code,WEB,WEB-APP,dev,backend/models/User.js,TBD,ACTIVE,TBD,
59,code,WEB,WEB-APP,dev,backend/routes/auth.js,TBD,ACTIVE,TBD,
60,code,WEB,WEB-APP,dev,backend/routes/products.js,TBD,ACTIVE,TBD,
61,asset,WEB,WEB-APP,dev,rahla-api/.gitignore,TBD,ACTIVE,TBD,
62,asset,WEB,WEB-APP,dev,rahla-api/DEPLOY.md,TBD,ACTIVE,TBD,
63,asset,WEB,WEB-APP,dev,rahla-api/README.md,TBD,ACTIVE,TBD,
64,asset,WEB,WEB-APP,dev,rahla-api/env.example,TBD,ACTIVE,TBD,
65,code,WEB,WEB-APP,dev,rahla-api/jest.config.js,TBD,ACTIVE,TBD,
66,code,WEB,WEB-APP,dev,rahla-api/package.json,TBD,ACTIVE,TBD,
67,code,WEB,WEB-APP,dev,rahla-api/render.yaml,TBD,ACTIVE,TBD,
68,code,WEB,WEB-APP,dev,rahla-api/seed-admin.js,TBD,ACTIVE,TBD,
69,code,WEB,WEB-APP,dev,rahla-api/server.js,TBD,ACTIVE,TBD,
70,code,WEB,WEB-APP,dev,rahla-api/src/db.js,TBD,ACTIVE,TBD,
71,code,WEB,WEB-APP,dev,rahla-api/src/server.js,TBD,ACTIVE,TBD,
72,code,WEB,WEB-APP,dev,rahla-api/src/middleware/audit.js,TBD,ACTIVE,TBD,
73,code,WEB,WEB-APP,dev,rahla-api/src/middleware/auth.js,TBD,ACTIVE,TBD,
74,code,WEB,WEB-APP,dev,rahla-api/src/models/AuditLog.js,TBD,ACTIVE,TBD,
75,code,WEB,WEB-APP,dev,rahla-api/src/models/Category.js,TBD,ACTIVE,TBD,
76,code,WEB,WEB-APP,dev,rahla-api/src/models/Product.js,TBD,ACTIVE,TBD,
77,code,WEB,WEB-APP,dev,rahla-api/src/models/User.js,TBD,ACTIVE,TBD,
78,code,WEB,WEB-APP,dev,rahla-api/src/routes/auth.js,TBD,ACTIVE,TBD,
79,code,WEB,WEB-APP,dev,rahla-api/src/routes/categories.js,TBD,ACTIVE,TBD,
80,code,WEB,WEB-APP,dev,rahla-api/src/routes/media.js,TBD,ACTIVE,TBD,
81,code,WEB,WEB-APP,dev,rahla-api/src/routes/products.js,TBD,ACTIVE,TBD,
82,code,WEB,WEB-APP,dev,rahla-api/src/tests/auth.test.js,TBD,ACTIVE,TBD,
83,code,WEB,WEB-APP,dev,rahla-api/src/tests/setup.js,TBD,ACTIVE,TBD,
84,code,WEB,WEB-APP,dev,rahla-api/src/utils/slugify.js,TBD,ACTIVE,TBD,
85,code,WEB,WEB-APP,dev,tests/1-user-journey.spec.js,TBD,ACTIVE,TBD,
86,code,WEB,WEB-APP,dev,tests/2-admin-panel.spec.js,TBD,ACTIVE,TBD,
87,code,WEB,WEB-APP,dev,tests/3-api-integration.spec.js,TBD,ACTIVE,TBD,
88,code,WEB,WEB-APP,dev,tests/4-performance-accessibility.spec.js,TBD,ACTIVE,TBD,
89,code,WEB,WEB-APP,dev,tests/package.json,TBD,ACTIVE,TBD,
90,code,WEB,WEB-APP,dev,tests/playwright.config.js,TBD,ACTIVE,TBD,
91,code,WEB,WEB-APP,dev,tests/e2e/flows.spec.ts,TBD,ACTIVE,TBD,
92,code,WEB,WEB-APP,dev,tests/e2e/playwright.config.ts,TBD,ACTIVE,TBD,
93,asset,WEB,WEB-APP,dev,docs/orchestrator/VERSION.md,TBD,ACTIVE,TBD,
94,asset,WEB,WEB-APP,dev,docs/orchestrator/CHANGELOG.md,TBD,ACTIVE,TBD,
